"year","age","value"
1950,"80 and up",0.0055967228
1955,"80 and up",0.0058247053
1960,"80 and up",0.0061458856
1965,"80 and up",0.0064518341
1970,"80 and up",0.0069708
1975,"80 and up",0.0076261349
1980,"80 and up",0.0085398279
1985,"80 and up",0.0096494826
1990,"80 and up",0.0107315201
1995,"80 and up",0.0116756873
2000,"80 and up",0.011909857
2005,"80 and up",0.0135852505
2010,"80 and up",0.0156660059
2015,"80 and up",0.0170138003
2020,"80 and up",0.0185278566
2025,"80 and up",0.019849649
2030,"80 and up",0.0228347826
2035,"80 and up",0.0275143282
2040,"80 and up",0.0315812142
2045,"80 and up",0.0362971333
2050,"80 and up",0.0409989216
1950,"75 - 79",0.008649048
1955,"75 - 79",0.0086886794
1960,"75 - 79",0.0088172033
1965,"75 - 79",0.0090287156
1970,"75 - 79",0.0090934636
1975,"75 - 79",0.0098627282
1980,"75 - 79",0.0109361444
1985,"75 - 79",0.0116272217
1990,"75 - 79",0.0119401769
1995,"75 - 79",0.0112285779
2000,"75 - 79",0.0128993976
2005,"75 - 79",0.0140617766
2010,"75 - 79",0.0146815437
2015,"75 - 79",0.0155601863
2020,"75 - 79",0.0158257071
2025,"75 - 79",0.0185695958
2030,"75 - 79",0.0224146219
2035,"75 - 79",0.0240281907
2040,"75 - 79",0.027110375
2045,"75 - 79",0.029459246
2050,"75 - 79",0.0306632698
1950,"70 - 74",0.0147954322
1955,"70 - 74",0.0146558549
1960,"70 - 74",0.0147704549
1965,"70 - 74",0.0144781264
1970,"70 - 74",0.0151896917
1975,"70 - 74",0.016247594
1980,"70 - 74",0.0171883347
1985,"70 - 74",0.0174014968
1990,"70 - 74",0.0160971481
1995,"70 - 74",0.0180221939
2000,"70 - 74",0.0192795197
2005,"70 - 74",0.0198303449
2010,"70 - 74",0.0207998462
2015,"70 - 74",0.0207940366
2020,"70 - 74",0.0239868658
2025,"70 - 74",0.0286862562
2030,"70 - 74",0.0303883291
2035,"70 - 74",0.0338877844
2040,"70 - 74",0.0364419411
2045,"70 - 74",0.0375601283
2050,"70 - 74",0.0374980437
1950,"65 - 69",0.021805126
1955,"65 - 69",0.0215325167
1960,"65 - 69",0.0209316161
1965,"65 - 69",0.0212861589
1970,"65 - 69",0.0223131383
1975,"65 - 69",0.0230373887
1980,"65 - 69",0.0231936164
1985,"65 - 69",0.0213784054
1990,"65 - 69",0.0233821635
1995,"65 - 69",0.0246253806
2000,"65 - 69",0.0248704134
2005,"65 - 69",0.0257926315
2010,"65 - 69",0.0255578227
2015,"65 - 69",0.0290898605
2020,"65 - 69",0.0344521236
2025,"65 - 69",0.0361187743
2030,"65 - 69",0.0398638065
2035,"65 - 69",0.0424902212
2040,"65 - 69",0.0434425603
2045,"65 - 69",0.0430890293
2050,"65 - 69",0.0468002166
1950,"60 - 64",0.0290399044
1955,"60 - 64",0.0278776571
1960,"60 - 64",0.0282874613
1965,"60 - 64",0.0287748404
1970,"60 - 64",0.0292519227
1975,"60 - 64",0.0288781849
1980,"60 - 64",0.0266109673
1985,"60 - 64",0.0289015694
1990,"60 - 64",0.0299907454
1995,"60 - 64",0.0297839323
2000,"60 - 64",0.030568544
2005,"60 - 64",0.0299630159
2010,"60 - 64",0.0338835387
2015,"60 - 64",0.0397748728
2020,"60 - 64",0.0413081056
2025,"60 - 64",0.0451407252
2030,"60 - 64",0.0477187588
2035,"60 - 64",0.048462099
2040,"60 - 64",0.0478011478
2045,"60 - 64",0.0515583336
2050,"60 - 64",0.0555745658
1950,"55 - 59",0.0350690859
1955,"55 - 59",0.035270067
1960,"55 - 59",0.03599285
1965,"55 - 59",0.0359503649
1970,"55 - 59",0.034997385
1975,"55 - 59",0.0318039362
1980,"55 - 59",0.0344468366
1985,"55 - 59",0.0355747333
1990,"55 - 59",0.0347830443
1995,"55 - 59",0.0351885397
2000,"55 - 59",0.0341151722
2005,"55 - 59",0.0386104004
2010,"55 - 59",0.0448430552
2015,"55 - 59",0.0461827625
2020,"55 - 59",0.0499944511
